,Country,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00
0,Albania,2.49,2.61,2.64,2.58,2.67
1,Austria,3.41,3.3,3.55,3.34,3.53
2,Belgium,6.77,6.33,6.32,6.29,6.6
3,Bosnia and Herzegovina,3.75,3.87,3.92,3.68,3.7
4,Bulgaria,3.08,3.18,3.31,3.01,3.26
5,Croatia,3.9,3.9,4.07,3.76,3.94
6,Cyprus,3.72,3.72,3.54,3.65,3.72
7,Czech Republic,5.26,4.92,5.33,5.16,5.29
8,Denmark,8.21,7.44,7.81,7.39,7.7
9,Estonia,6.81,6.42,6.61,6.29,6.72
10,Finland,6.15,5.55,5.75,5.68,5.8
11,France,5.29,5.13,5.16,5.19,5.43
12,Germany,5.72,5.33,5.65,5.44,5.68
13,Greece,3.07,3.16,3.1,3.12,3.17
14,Hungary,4.73,4.76,5.06,4.68,4.98
15,Iceland,6.72,5.77,5.99,6.23,6.1
16,Ireland,7.33,6.81,6.91,6.86,6.94
17,Italy,3.08,3.23,3.25,3.15,3.33
18,Latvia,6.44,6.16,6.34,5.96,6.44
19,Lithuania,6.35,6.07,6.21,5.81,6.42
20,Luxembourg,6.02,5.65,5.72,5.74,5.98
21,Malta,,,,,
22,Montenegro,2.77,2.95,3.01,2.78,3.07
23,Netherlands,7.21,6.61,6.72,6.72,6.95
24,North Macedonia,2.6,2.69,2.74,2.54,2.75
25,Norway,4.99,4.47,4.7,4.6,4.52
26,Poland,6.24,5.85,6.36,5.87,6.34
27,Portugal,4.67,4.89,4.75,4.77,4.94
28,Romania,3.98,4.04,4.18,3.87,3.97
29,Serbia,3.83,3.95,4.12,3.99,4.02
30,Slovakia,4.24,4.1,4.44,4.21,4.46
31,Slovenia,3.34,3.28,3.4,3.17,3.31
32,Spain,4.25,4.36,4.27,4.37,4.56
33,Sweden,6.03,5.48,5.73,5.46,5.59
34,Switzerland,2.39,2.35,2.43,2.42,2.54
35,Turkey,3.23,3.41,3.25,3.21,3.24
36,United Kingdom,7.42,6.76,7.06,6.89,6.85
