,Date,Country,Average Windspeed(m/s)
5,2015-12-31,Albania,2.49
6,2016-12-31,Albania,2.61
7,2017-12-31,Albania,2.64
8,2018-12-31,Albania,2.58
9,2019-12-31,Albania,2.67
17,2015-12-31,Austria,3.41
18,2016-12-31,Austria,3.3
19,2017-12-31,Austria,3.55
20,2018-12-31,Austria,3.34
21,2019-12-31,Austria,3.53
29,2015-12-31,Bulgaria,3.08
30,2016-12-31,Bulgaria,3.18
31,2017-12-31,Bulgaria,3.31
32,2018-12-31,Bulgaria,3.01
33,2019-12-31,Bulgaria,3.26
41,2015-12-31,Belgium,6.77
42,2016-12-31,Belgium,6.33
43,2017-12-31,Belgium,6.32
44,2018-12-31,Belgium,6.29
45,2019-12-31,Belgium,6.6
53,2015-12-31,Bosnia and Herzegovina,3.75
54,2016-12-31,Bosnia and Herzegovina,3.87
55,2017-12-31,Bosnia and Herzegovina,3.92
56,2018-12-31,Bosnia and Herzegovina,3.68
57,2019-12-31,Bosnia and Herzegovina,3.7
65,2015-12-31,Switzerland,2.39
66,2016-12-31,Switzerland,2.35
67,2017-12-31,Switzerland,2.43
68,2018-12-31,Switzerland,2.42
69,2019-12-31,Switzerland,2.54
77,2015-12-31,Cyprus,3.72
78,2016-12-31,Cyprus,3.72
79,2017-12-31,Cyprus,3.54
80,2018-12-31,Cyprus,3.65
81,2019-12-31,Cyprus,3.72
89,2015-12-31,Czech Republic,5.26
90,2016-12-31,Czech Republic,4.92
91,2017-12-31,Czech Republic,5.33
92,2018-12-31,Czech Republic,5.16
93,2019-12-31,Czech Republic,5.29
101,2015-12-31,Germany,5.72
102,2016-12-31,Germany,5.33
103,2017-12-31,Germany,5.65
104,2018-12-31,Germany,5.44
105,2019-12-31,Germany,5.68
113,2015-12-31,Denmark,8.21
114,2016-12-31,Denmark,7.44
115,2017-12-31,Denmark,7.81
116,2018-12-31,Denmark,7.39
117,2019-12-31,Denmark,7.7
125,2015-12-31,Estonia,6.81
126,2016-12-31,Estonia,6.42
127,2017-12-31,Estonia,6.61
128,2018-12-31,Estonia,6.29
129,2019-12-31,Estonia,6.72
137,2015-12-31,Greece,3.07
138,2016-12-31,Greece,3.16
139,2017-12-31,Greece,3.1
140,2018-12-31,Greece,3.12
141,2019-12-31,Greece,3.17
149,2015-12-31,Slovakia,4.24
150,2016-12-31,Slovakia,4.1
151,2017-12-31,Slovakia,4.44
152,2018-12-31,Slovakia,4.21
153,2019-12-31,Slovakia,4.46
161,2015-12-31,Spain,4.25
162,2016-12-31,Spain,4.36
163,2017-12-31,Spain,4.27
164,2018-12-31,Spain,4.37
165,2019-12-31,Spain,4.56
173,2015-12-31,Finland,6.15
174,2016-12-31,Finland,5.55
175,2017-12-31,Finland,5.75
176,2018-12-31,Finland,5.68
177,2019-12-31,Finland,5.8
185,2015-12-31,France,5.29
186,2016-12-31,France,5.13
187,2017-12-31,France,5.16
188,2018-12-31,France,5.19
189,2019-12-31,France,5.43
197,2015-12-31,Croatia,3.9
198,2016-12-31,Croatia,3.9
199,2017-12-31,Croatia,4.07
200,2018-12-31,Croatia,3.76
201,2019-12-31,Croatia,3.94
209,2015-12-31,Hungary,4.73
210,2016-12-31,Hungary,4.76
211,2017-12-31,Hungary,5.06
212,2018-12-31,Hungary,4.68
213,2019-12-31,Hungary,4.98
221,2015-12-31,Ireland,7.33
222,2016-12-31,Ireland,6.81
223,2017-12-31,Ireland,6.91
224,2018-12-31,Ireland,6.86
225,2019-12-31,Ireland,6.94
233,2015-12-31,Iceland,6.72
234,2016-12-31,Iceland,5.77
235,2017-12-31,Iceland,5.99
236,2018-12-31,Iceland,6.23
237,2019-12-31,Iceland,6.1
245,2015-12-31,Italy,3.08
246,2016-12-31,Italy,3.23
247,2017-12-31,Italy,3.25
248,2018-12-31,Italy,3.15
249,2019-12-31,Italy,3.33
257,2015-12-31,Lithuania,6.35
258,2016-12-31,Lithuania,6.07
259,2017-12-31,Lithuania,6.21
260,2018-12-31,Lithuania,5.81
261,2019-12-31,Lithuania,6.42
269,2015-12-31,Luxembourg,6.02
270,2016-12-31,Luxembourg,5.65
271,2017-12-31,Luxembourg,5.72
272,2018-12-31,Luxembourg,5.74
273,2019-12-31,Luxembourg,5.98
281,2015-12-31,Latvia,6.44
282,2016-12-31,Latvia,6.16
283,2017-12-31,Latvia,6.34
284,2018-12-31,Latvia,5.96
285,2019-12-31,Latvia,6.44
293,2015-12-31,Montenegro,2.77
294,2016-12-31,Montenegro,2.95
295,2017-12-31,Montenegro,3.01
296,2018-12-31,Montenegro,2.78
297,2019-12-31,Montenegro,3.07
305,2015-12-31,North Macedonia,2.6
306,2016-12-31,North Macedonia,2.69
307,2017-12-31,North Macedonia,2.74
308,2018-12-31,North Macedonia,2.54
309,2019-12-31,North Macedonia,2.75
317,2015-12-31,Malta,
318,2016-12-31,Malta,
319,2017-12-31,Malta,
320,2018-12-31,Malta,
321,2019-12-31,Malta,
329,2015-12-31,Netherlands,7.21
330,2016-12-31,Netherlands,6.61
331,2017-12-31,Netherlands,6.72
332,2018-12-31,Netherlands,6.72
333,2019-12-31,Netherlands,6.95
341,2015-12-31,Norway,4.99
342,2016-12-31,Norway,4.47
343,2017-12-31,Norway,4.7
344,2018-12-31,Norway,4.6
345,2019-12-31,Norway,4.52
353,2015-12-31,Poland,6.24
354,2016-12-31,Poland,5.85
