,Date,Country,Total Energy MWh
5,2015-12-31,Albania,0.0
6,2016-12-31,Albania,0.0
7,2017-12-31,Albania,0.0
8,2018-12-31,Albania,0.0
9,2019-12-31,Albania,0.0
17,2015-12-31,Austria,5814643.67669231
18,2016-12-31,Austria,5391224.362193
19,2017-12-31,Austria,6516056.85495303
20,2018-12-31,Austria,5366979.94627063
21,2019-12-31,Austria,6393652.50009349
29,2015-12-31,Bulgaria,1512070.82750391
30,2016-12-31,Bulgaria,1591982.14077899
31,2017-12-31,Bulgaria,1661663.18516744
32,2018-12-31,Bulgaria,1417451.15568567
33,2019-12-31,Bulgaria,1397307.08067802
41,2015-12-31,Belgium,15144777.480729
42,2016-12-31,Belgium,13444495.0328821
43,2017-12-31,Belgium,13422148.1402317
44,2018-12-31,Belgium,13464447.4689321
45,2019-12-31,Belgium,14511277.5380422
53,2015-12-31,Bosnia and Herzegovina,58452.6898547522
54,2016-12-31,Bosnia and Herzegovina,66417.0055124951
55,2017-12-31,Bosnia and Herzegovina,77437.8117779467
56,2018-12-31,Bosnia and Herzegovina,55331.3072491975
57,2019-12-31,Bosnia and Herzegovina,73464.5324614713
65,2015-12-31,Switzerland,46398.7051301937
66,2016-12-31,Switzerland,42268.5943171527
67,2017-12-31,Switzerland,47763.1000465925
68,2018-12-31,Switzerland,49680.6299703697
69,2019-12-31,Switzerland,56977.6592615891
77,2015-12-31,Cyprus,281098.616249876
78,2016-12-31,Cyprus,280819.412212514
79,2017-12-31,Cyprus,246631.719071466
80,2018-12-31,Cyprus,255613.958420927
81,2019-12-31,Cyprus,271707.52065683
89,2015-12-31,Czech Republic,1399840.14286056
90,2016-12-31,Czech Republic,1221922.80279596
91,2017-12-31,Czech Republic,1461767.88953133
92,2018-12-31,Czech Republic,1346735.55141769
93,2019-12-31,Czech Republic,1463257.27901923
101,2015-12-31,Germany,279481644.545582
102,2016-12-31,Germany,240990795.888029
103,2017-12-31,Germany,277803566.012667
104,2018-12-31,Germany,252643376.533827
105,2019-12-31,Germany,278064080.774225
113,2015-12-31,Denmark,40650971.1016477
114,2016-12-31,Denmark,34962943.6729155
115,2017-12-31,Denmark,38472463.3076541
116,2018-12-31,Denmark,34642498.9185976
117,2019-12-31,Denmark,37044193.5488884
125,2015-12-31,Estonia,2209475.13634682
126,2016-12-31,Estonia,1994986.3696965
127,2017-12-31,Estonia,2154243.13423496
128,2018-12-31,Estonia,1897398.19723772
129,2019-12-31,Estonia,2160386.3917213
137,2015-12-31,Greece,3190243.32336185
138,2016-12-31,Greece,3397438.93170008
139,2017-12-31,Greece,3157677.77149804
140,2018-12-31,Greece,3331697.0121977
141,2019-12-31,Greece,3439173.59761815
