,Country Name,Indicator Name,2015,2016,2017,2018,2019,2020
5,Albania,"Population, total",2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837743.0
14,Austria,"Population, total",8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8917205.0
17,Belgium,"Population, total",11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11555997.0
21,Bulgaria,"Population, total",7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6927288.0
24,Bosnia and Herzegovina,"Population, total",3429362.0,3386263.0,3351534.0,3323929.0,3300998.0,3280815.0
53,Cyprus,"Population, total",1160987.0,1170189.0,1179685.0,1189262.0,1198574.0,1207361.0
58,Denmark,"Population, total",5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0
70,Spain,"Population, total",46444832.0,46484062.0,46593236.0,46797754.0,47133521.0,47351567.0
71,Estonia,"Population, total",1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1331057.0
75,Finland,"Population, total",5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5530719.0
77,France,"Population, total",66548272.0,66724104.0,66918020.0,67101930.0,67248926.0,67391582.0
81,United Kingdom,"Population, total",65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,67215293.0
82,Georgia,"Population, total",3725276.0,3727505.0,3728004.0,3726549.0,3720161.0,3714000.0
89,Greece,"Population, total",10820883.0,10775971.0,10754679.0,10732882.0,10721582.0,10715549.0
99,Croatia,"Population, total",4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,4047200.0
101,Hungary,"Population, total",9843028.0,9814023.0,9787966.0,9775564.0,9771141.0,9749763.0
111,Ireland,"Population, total",4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,4994724.0
114,Iceland,"Population, total",330815.0,335439.0,343400.0,352721.0,360563.0,366425.0
116,Italy,"Population, total",60730582.0,60627498.0,60536709.0,60421760.0,59729081.0,59554023.0
143,Lithuania,"Population, total",2904910.0,2868231.0,2828403.0,2801543.0,2794137.0,2794700.0
144,Luxembourg,"Population, total",569604.0,582014.0,596336.0,607950.0,620001.0,632275.0
145,Latvia,"Population, total",1977527.0,1959537.0,1942248.0,1927174.0,1913822.0,1901548.0
150,Moldova,"Population, total",2834530.0,2802170.0,2755158.0,2708214.0,2663251.0,2617820.0
157,North Macedonia,"Population, total",2079335.0,2080746.0,2081996.0,2082957.0,2083458.0,2083380.0
159,Malta,"Population, total",445053.0,455356.0,467999.0,484630.0,504062.0,525285.0
162,Montenegro,"Population, total",622159.0,622303.0,622373.0,622227.0,622028.0,621718.0
176,Netherlands,"Population, total",16939923.0,17030314.0,17131296.0,17231624.0,17344874.0,17441139.0
177,Norway,"Population, total",5188607.0,5234519.0,5276968.0,5311916.0,5347896.0,5379475.0
190,Poland,"Population, total",37986412.0,37970087.0,37974826.0,37974750.0,37965475.0,37950802.0
194,Portugal,"Population, total",10358076.0,10325452.0,10300300.0,10283822.0,10286263.0,10305564.0
201,Romania,"Population, total",19815616.0,19702267.0,19588715.0,19473970.0,19371648.0,19286123.0
214,Serbia,"Population, total",7095383.0,7058322.0,7020858.0,6982604.0,6945235.0,6908224.0
222,Slovenia,"Population, total",2063531.0,2065042.0,2066388.0,2073894.0,2088385.0,2100126.0
223,Sweden,"Population, total",9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,10353442.0
244,Turkey,"Population, total",78529413.0,79827868.0,81116451.0,82340090.0,83429607.0,84339067.0
248,Ukraine,"Population, total",45154036.0,45004673.0,44831135.0,44622518.0,44386203.0,44134693.0
