,country,product_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Total,2010,"972,809.690"
1,European Union - 28 countries (2013-2020),Total,2010,"1,102,889.772"
2,Euro area - 19 countries  (from 2015),Total,2010,"781,361.455"
3,Belgium,Total,2010,"35,246.194"
4,Bulgaria,Total,2010,"8,699.392"
5,Czechia,Total,2010,"24,121.144"
6,Denmark,Total,2010,"14,850.955"
7,Germany (until 1990 former territory of the FRG),Total,2010,"209,923.090"
8,Estonia,Total,2010,"2,875.411"
9,Ireland,Total,2010,"11,136.385"
10,Greece,Total,2010,"18,373.799"
11,Spain,Total,2010,"85,367.113"
12,France,Total,2010,"146,258.394"
13,Croatia,Total,2010,"7,129.931"
14,Italy,Total,2010,"123,052.729"
15,Cyprus,Total,2010,"1,645.788"
16,Latvia,Total,2010,"4,002.237"
17,Lithuania,Total,2010,"4,757.259"
18,Luxembourg,Total,2010,"3,897.203"
19,Hungary,Total,2010,"16,879.616"
20,Malta,Total,2010,401.350
21,Netherlands,Total,2010,"50,750.459"
22,Austria,Total,2010,"25,959.747"
23,Poland,Total,2010,"65,257.858"
24,Portugal,Total,2010,"17,269.567"
25,Romania,Total,2010,"22,038.770"
26,Slovenia,Total,2010,"5,047.440"
27,Slovakia,Total,2010,"10,371.086"
28,Finland,Total,2010,"25,026.204"
29,Sweden,Total,2010,"32,470.569"
30,Iceland,Total,2010,"2,517.495"
31,Norway,Total,2010,"19,578.399"
32,United Kingdom,Total,2010,"130,080.082"
33,Montenegro,Total,2010,714.626
34,North Macedonia,Total,2010,"1,789.926"
35,Albania,Total,2010,"1,897.918"
36,Serbia,Total,2010,"8,762.533"
37,Turkey,Total,2010,"71,036.168"
38,Bosnia and Herzegovina,Total,2010,:
39,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2010,"1,190.842"
40,Moldova,Total,2010,"2,268.192"
41,Ukraine,Total,2010,"68,387.540"
42,Georgia,Total,2010,:
43,European Union - 27 countries (from 2020),Solid fossil fuels,2010,"27,218.596"
44,European Union - 28 countries (2013-2020),Solid fossil fuels,2010,"29,569.172"
45,Euro area - 19 countries  (from 2015),Solid fossil fuels,2010,"10,328.087"
46,Belgium,Solid fossil fuels,2010,491.595
47,Bulgaria,Solid fossil fuels,2010,410.173
48,Czechia,Solid fossil fuels,2010,"1,886.748"
49,Denmark,Solid fossil fuels,2010,137.483
50,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2010,"4,375.215"
51,Estonia,Solid fossil fuels,2010,37.625
52,Ireland,Solid fossil fuels,2010,353.672
53,Greece,Solid fossil fuels,2010,301.533
54,Spain,Solid fossil fuels,2010,527.002
55,France,Solid fossil fuels,2010,"1,752.221"
56,Croatia,Solid fossil fuels,2010,150.809
57,Italy,Solid fossil fuels,2010,623.310
58,Cyprus,Solid fossil fuels,2010,16.779
59,Latvia,Solid fossil fuels,2010,93.353
60,Lithuania,Solid fossil fuels,2010,178.089
61,Luxembourg,Solid fossil fuels,2010,67.036
62,Hungary,Solid fossil fuels,2010,237.424
63,Malta,Solid fossil fuels,2010,0.000
64,Netherlands,Solid fossil fuels,2010,114.720
65,Austria,Solid fossil fuels,2010,364.679
66,Poland,Solid fossil fuels,2010,"13,163.567"
67,Portugal,Solid fossil fuels,2010,50.152
68,Romania,Solid fossil fuels,2010,534.577
69,Slovenia,Solid fossil fuels,2010,48.803
70,Slovakia,Solid fossil fuels,2010,711.140
71,Finland,Solid fossil fuels,2010,221.163
72,Sweden,Solid fossil fuels,2010,369.728
73,Iceland,Solid fossil fuels,2010,90.126
74,Norway,Solid fossil fuels,2010,495.481
75,United Kingdom,Solid fossil fuels,2010,"2,350.576"
76,Montenegro,Solid fossil fuels,2010,10.999
77,North Macedonia,Solid fossil fuels,2010,112.429
78,Albania,Solid fossil fuels,2010,110.900
79,Serbia,Solid fossil fuels,2010,784.293
80,Turkey,Solid fossil fuels,2010,"14,003.596"
81,Bosnia and Herzegovina,Solid fossil fuels,2010,:
82,Kosovo (under United Nations Security Council Resolution 1244/99),Solid fossil fuels,2010,76.340
83,Moldova,Solid fossil fuels,2010,112.363
84,Ukraine,Solid fossil fuels,2010,"4,170.699"
85,Georgia,Solid fossil fuels,2010,:
86,European Union - 27 countries (from 2020),Manufactured gases,2010,"5,385.162"
87,European Union - 28 countries (2013-2020),Manufactured gases,2010,"5,574.287"
88,Euro area - 19 countries  (from 2015),Manufactured gases,2010,"3,981.718"
89,Belgium,Manufactured gases,2010,248.285
90,Bulgaria,Manufactured gases,2010,0.000
91,Czechia,Manufactured gases,2010,335.636
92,Denmark,Manufactured gases,2010,0.000
93,Germany (until 1990 former territory of the FRG),Manufactured gases,2010,"2,437.805"
94,Estonia,Manufactured gases,2010,0.000
95,Ireland,Manufactured gases,2010,0.000
96,Greece,Manufactured gases,2010,0.000
97,Spain,Manufactured gases,2010,154.548
98,France,Manufactured gases,2010,0.000
99,Croatia,Manufactured gases,2010,4.127
100,Italy,Manufactured gases,2010,0.000
101,Cyprus,Manufactured gases,2010,0.000
102,Latvia,Manufactured gases,2010,0.000
103,Lithuania,Manufactured gases,2010,0.000
104,Luxembourg,Manufactured gases,2010,0.000
105,Hungary,Manufactured gases,2010,149.286
106,Malta,Manufactured gases,2010,0.000
107,Netherlands,Manufactured gases,2010,459.165
108,Austria,Manufactured gases,2010,100.339
109,Poland,Manufactured gases,2010,571.761
110,Portugal,Manufactured gases,2010,0.000
111,Romania,Manufactured gases,2010,171.969
112,Slovenia,Manufactured gases,2010,0.000
113,Slovakia,Manufactured gases,2010,415.838
114,Finland,Manufactured gases,2010,165.738
115,Sweden,Manufactured gases,2010,170.665
116,Iceland,Manufactured gases,2010,0.000
117,Norway,Manufactured gases,2010,37.093
118,United Kingdom,Manufactured gases,2010,189.125
119,Montenegro,Manufactured gases,2010,0.000
120,North Macedonia,Manufactured gases,2010,0.000
121,Albania,Manufactured gases,2010,0.000
122,Serbia,Manufactured gases,2010,74.186
123,Turkey,Manufactured gases,2010,317.558
124,Bosnia and Herzegovina,Manufactured gases,2010,:
125,Kosovo (under United Nations Security Council Resolution 1244/99),Manufactured gases,2010,0.000
126,Moldova,Manufactured gases,2010,0.000
127,Ukraine,Manufactured gases,2010,"3,257.853"
128,Georgia,Manufactured gases,2010,:
129,European Union - 27 countries (from 2020),Peat and peat products,2010,603.294
130,European Union - 28 countries (2013-2020),Peat and peat products,2010,603.294
131,Euro area - 19 countries  (from 2015),Peat and peat products,2010,587.109
132,Belgium,Peat and peat products,2010,0.000
133,Bulgaria,Peat and peat products,2010,0.000
134,Czechia,Peat and peat products,2010,0.000
135,Denmark,Peat and peat products,2010,0.000
136,Germany (until 1990 former territory of the FRG),Peat and peat products,2010,0.000
137,Estonia,Peat and peat products,2010,3.822
138,Ireland,Peat and peat products,2010,253.761
139,Greece,Peat and peat products,2010,0.000
140,Spain,Peat and peat products,2010,0.000
141,France,Peat and peat products,2010,0.000
142,Croatia,Peat and peat products,2010,0.000
143,Italy,Peat and peat products,2010,0.000
144,Cyprus,Peat and peat products,2010,0.000
145,Latvia,Peat and peat products,2010,0.720
146,Lithuania,Peat and peat products,2010,21.111
147,Luxembourg,Peat and peat products,2010,0.000
148,Hungary,Peat and peat products,2010,0.000
149,Malta,Peat and peat products,2010,0.000
150,Netherlands,Peat and peat products,2010,0.000
151,Austria,Peat and peat products,2010,0.210
152,Poland,Peat and peat products,2010,0.000
153,Portugal,Peat and peat products,2010,0.000
154,Romania,Peat and peat products,2010,8.188
155,Slovenia,Peat and peat products,2010,0.000
156,Slovakia,Peat and peat products,2010,0.000
157,Finland,Peat and peat products,2010,307.485
158,Sweden,Peat and peat products,2010,7.997
159,Iceland,Peat and peat products,2010,0.000
160,Norway,Peat and peat products,2010,0.000
161,United Kingdom,Peat and peat products,2010,0.000
162,Montenegro,Peat and peat products,2010,0.000
163,North Macedonia,Peat and peat products,2010,0.000
164,Albania,Peat and peat products,2010,0.000
165,Serbia,Peat and peat products,2010,0.000
166,Turkey,Peat and peat products,2010,0.000
167,Bosnia and Herzegovina,Peat and peat products,2010,:
168,Kosovo (under United Nations Security Council Resolution 1244/99),Peat and peat products,2010,0.000
169,Moldova,Peat and peat products,2010,0.000
170,Ukraine,Peat and peat products,2010,72.951
171,Georgia,Peat and peat products,2010,:
172,European Union - 27 countries (from 2020),Oil shale and oil sands	,2010,40.986
173,European Union - 28 countries (2013-2020),Oil shale and oil sands	,2010,40.986
174,Euro area - 19 countries  (from 2015),Oil shale and oil sands	,2010,40.986
175,Belgium,Oil shale and oil sands	,2010,0.000
176,Bulgaria,Oil shale and oil sands	,2010,0.000
177,Czechia,Oil shale and oil sands	,2010,0.000
178,Denmark,Oil shale and oil sands	,2010,0.000
179,Germany (until 1990 former territory of the FRG),Oil shale and oil sands	,2010,0.000
180,Estonia,Oil shale and oil sands	,2010,40.986
181,Ireland,Oil shale and oil sands	,2010,0.000
182,Greece,Oil shale and oil sands	,2010,0.000
183,Spain,Oil shale and oil sands	,2010,0.000
184,France,Oil shale and oil sands	,2010,0.000
185,Croatia,Oil shale and oil sands	,2010,0.000
186,Italy,Oil shale and oil sands	,2010,0.000
187,Cyprus,Oil shale and oil sands	,2010,0.000
188,Latvia,Oil shale and oil sands	,2010,0.000
189,Lithuania,Oil shale and oil sands	,2010,0.000
190,Luxembourg,Oil shale and oil sands	,2010,0.000
191,Hungary,Oil shale and oil sands	,2010,0.000
192,Malta,Oil shale and oil sands	,2010,0.000
193,Netherlands,Oil shale and oil sands	,2010,0.000
194,Austria,Oil shale and oil sands	,2010,0.000
195,Poland,Oil shale and oil sands	,2010,0.000
196,Portugal,Oil shale and oil sands	,2010,0.000
197,Romania,Oil shale and oil sands	,2010,0.000
198,Slovenia,Oil shale and oil sands	,2010,0.000
199,Slovakia,Oil shale and oil sands	,2010,0.000
200,Finland,Oil shale and oil sands	,2010,0.000
201,Sweden,Oil shale and oil sands	,2010,0.000
202,Iceland,Oil shale and oil sands	,2010,0.000
203,Norway,Oil shale and oil sands	,2010,0.000
204,United Kingdom,Oil shale and oil sands	,2010,0.000
205,Montenegro,Oil shale and oil sands	,2010,0.000
206,North Macedonia,Oil shale and oil sands	,2010,0.000
207,Albania,Oil shale and oil sands	,2010,0.000
208,Serbia,Oil shale and oil sands	,2010,0.000
209,Turkey,Oil shale and oil sands	,2010,0.000
210,Bosnia and Herzegovina,Oil shale and oil sands	,2010,:
211,Kosovo (under United Nations Security Council Resolution 1244/99),Oil shale and oil sands	,2010,0.000
212,Moldova,Oil shale and oil sands	,2010,0.000
213,Ukraine,Oil shale and oil sands	,2010,0.000
214,Georgia,Oil shale and oil sands	,2010,:
215,European Union - 27 countries (from 2020),Natural gas,2010,"217,647.978"
216,European Union - 28 countries (2013-2020),Natural gas,2010,"264,115.390"
217,Euro area - 19 countries  (from 2015),Natural gas,2010,"185,917.598"
218,Belgium,Natural gas,2010,"9,932.260"
219,Bulgaria,Natural gas,2010,"1,058.181"
220,Czechia,Natural gas,2010,"6,088.414"
221,Denmark,Natural gas,2010,"1,746.532"
222,Germany (until 1990 former territory of the FRG),Natural gas,2010,"53,993.448"
223,Estonia,Natural gas,2010,207.072
224,Ireland,Natural gas,2010,"1,586.337"
225,Greece,Natural gas,2010,781.569
226,Spain,Natural gas,2010,"14,347.080"
227,France,Natural gas,2010,"32,006.548"
228,Croatia,Natural gas,2010,"1,283.405"
229,Italy,Natural gas,2010,"38,499.377"
230,Cyprus,Natural gas,2010,0.000
231,Latvia,Natural gas,2010,497.700
232,Lithuania,Natural gas,2010,618.831
233,Luxembourg,Natural gas,2010,675.236
234,Hungary,Natural gas,2010,"6,095.744"
235,Malta,Natural gas,2010,0.000
236,Netherlands,Natural gas,2010,"21,563.213"
237,Austria,Natural gas,2010,"4,740.569"
238,Poland,Natural gas,2010,"8,884.050"
239,Portugal,Natural gas,2010,"1,564.381"
240,Romania,Natural gas,2010,"6,016.810"
241,Slovenia,Natural gas,2010,620.357
242,Slovakia,Natural gas,2010,"3,491.767"
243,Finland,Natural gas,2010,791.853
244,Sweden,Natural gas,2010,557.244
245,Iceland,Natural gas,2010,0.000
246,Norway,Natural gas,2010,319.108
247,United Kingdom,Natural gas,2010,"46,467.412"
248,Montenegro,Natural gas,2010,0.000
249,North Macedonia,Natural gas,2010,41.509
250,Albania,Natural gas,2010,0.709
251,Serbia,Natural gas,2010,931.191
252,Turkey,Natural gas,2010,"12,941.488"
253,Bosnia and Herzegovina,Natural gas,2010,:
254,Kosovo (under United Nations Security Council Resolution 1244/99),Natural gas,2010,0.000
255,Moldova,Natural gas,2010,429.901
256,Ukraine,Natural gas,2010,"24,290.800"
257,Georgia,Natural gas,2010,:
258,European Union - 27 countries (from 2020),Oil and petroleum products,2010,"366,111.796"
259,European Union - 28 countries (2013-2020),Oil and petroleum products,2010,"414,700.348"
260,Euro area - 19 countries  (from 2015),Oil and petroleum products,2010,"308,033.203"
261,Belgium,Oil and petroleum products,2010,"14,795.515"
262,Bulgaria,Oil and petroleum products,2010,"2,957.454"
263,Czechia,Oil and petroleum products,2010,"6,267.558"
264,Denmark,Oil and petroleum products,2010,"5,945.646"
265,Germany (until 1990 former territory of the FRG),Oil and petroleum products,2010,"74,946.562"
266,Estonia,Oil and petroleum products,2010,902.191
267,Ireland,Oil and petroleum products,2010,"6,439.233"
268,Greece,Oil and petroleum products,2010,"11,427.572"
269,Spain,Oil and petroleum products,2010,"43,905.570"
270,France,Oil and petroleum products,2010,"58,378.400"
271,Croatia,Oil and petroleum products,2010,"2,804.050"
272,Italy,Oil and petroleum products,2010,"45,566.098"
273,Cyprus,Oil and petroleum products,2010,"1,100.253"
274,Latvia,Oil and petroleum products,2010,"1,327.801"
275,Lithuania,Oil and petroleum products,2010,"1,563.863"
276,Luxembourg,Oil and petroleum products,2010,"2,408.220"
277,Hungary,Oil and petroleum products,2010,"4,359.793"
278,Malta,Oil and petroleum products,2010,239.658
279,Netherlands,Oil and petroleum products,2010,"15,271.401"
280,Austria,Oil and petroleum products,2010,"9,675.853"
281,Poland,Oil and petroleum products,2010,"20,218.050"
282,Portugal,Oil and petroleum products,2010,"8,446.296"
283,Romania,Oil and petroleum products,2010,"6,027.312"
284,Slovenia,Oil and petroleum products,2010,"2,440.289"
285,Slovakia,Oil and petroleum products,2010,"2,263.950"
286,Finland,Oil and petroleum products,2010,"6,934.478"
287,Sweden,Oil and petroleum products,2010,"9,498.730"
288,Iceland,Oil and petroleum products,2010,516.956
289,Norway,Oil and petroleum products,2010,"6,773.493"
290,United Kingdom,Oil and petroleum products,2010,"48,588.552"
291,Montenegro,Oil and petroleum products,2010,266.525
292,North Macedonia,Oil and petroleum products,2010,795.424
293,Albania,Oil and petroleum products,2010,"1,086.805"
294,Serbia,Oil and petroleum products,2010,"2,736.391"
295,Turkey,Oil and petroleum products,2010,"21,664.293"
296,Bosnia and Herzegovina,Oil and petroleum products,2010,:
297,Kosovo (under United Nations Security Council Resolution 1244/99),Oil and petroleum products,2010,519.671
298,Moldova,Oil and petroleum products,2010,704.728
299,Ukraine,Oil and petroleum products,2010,"11,594.688"
300,Georgia,Oil and petroleum products,2010,:
301,European Union - 27 countries (from 2020),Renewables and biofuels	,2010,"85,763.704"
302,European Union - 28 countries (2013-2020),Renewables and biofuels	,2010,"88,606.074"
303,Euro area - 19 countries  (from 2015),Renewables and biofuels	,2010,"63,063.535"
304,Belgium,Renewables and biofuels	,2010,"1,696.837"
305,Bulgaria,Renewables and biofuels	,2010,980.095
306,Czechia,Renewables and biofuels	,2010,"2,293.606"
307,Denmark,Renewables and biofuels	,2010,"1,402.330"
308,Germany (until 1990 former territory of the FRG),Renewables and biofuels	,2010,"16,217.858"
