,country,sector,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),total,2010,"972,809.690"
1,European Union - 28 countries (2013-2020),total,2010,"1,102,889.772"
2,Euro area - 19 countries  (from 2015),total,2010,"781,361.455"
3,Belgium,total,2010,"35,246.194"
4,Bulgaria,total,2010,"8,699.392"
5,Czechia,total,2010,"24,121.144"
6,Denmark,total,2010,"14,850.955"
7,Germany (until 1990 former territory of the FRG),total,2010,"209,923.090"
8,Estonia,total,2010,"2,875.411"
9,Ireland,total,2010,"11,136.385"
10,Greece,total,2010,"18,373.799"
11,Spain,total,2010,"85,367.113"
12,France,total,2010,"146,258.394"
13,Croatia,total,2010,"7,129.931"
14,Italy,total,2010,"123,052.729"
15,Cyprus,total,2010,"1,645.788"
16,Latvia,total,2010,"4,002.237"
17,Lithuania,total,2010,"4,757.259"
18,Luxembourg,total,2010,"3,897.203"
19,Hungary,total,2010,"16,879.616"
20,Malta,total,2010,401.350
21,Netherlands,total,2010,"50,750.459"
22,Austria,total,2010,"25,959.747"
23,Poland,total,2010,"65,257.858"
24,Portugal,total,2010,"17,269.567"
25,Romania,total,2010,"22,038.770"
26,Slovenia,total,2010,"5,047.440"
27,Slovakia,total,2010,"10,371.086"
28,Finland,total,2010,"25,026.204"
29,Sweden,total,2010,"32,470.569"
30,Iceland,total,2010,"2,517.495"
31,Norway,total,2010,"19,578.399"
32,United Kingdom,total,2010,"130,080.082"
33,Montenegro,total,2010,714.626
34,North Macedonia,total,2010,"1,789.926"
35,Albania,total,2010,"1,897.918"
36,Serbia,total,2010,"8,762.533"
37,Turkey,total,2010,"71,036.168"
38,Bosnia and Herzegovina,total,2010,:
39,Kosovo (under United Nations Security Council Resolution 1244/99),total,2010,"1,190.842"
40,Moldova,total,2010,"2,268.192"
41,Ukraine,total,2010,"68,387.540"
42,Georgia,total,2010,:
43,European Union - 27 countries (from 2020),industry sector,2010,"243,717.425"
44,European Union - 28 countries (2013-2020),industry sector,2010,"269,314.001"
45,Euro area - 19 countries  (from 2015),industry sector,2010,"196,264.180"
46,Belgium,industry sector,2010,"10,937.062"
47,Bulgaria,industry sector,2010,"2,549.961"
48,Czechia,industry sector,2010,"6,888.698"
49,Denmark,industry sector,2010,"2,447.235"
50,Germany (until 1990 former territory of the FRG),industry sector,2010,"56,668.914"
51,Estonia,industry sector,2010,574.594
52,Ireland,industry sector,2010,"1,809.034"
53,Greece,industry sector,2010,"3,472.811"
54,Spain,industry sector,2010,"20,633.422"
55,France,industry sector,2010,"27,739.167"
56,Croatia,industry sector,2010,"1,329.298"
57,Italy,industry sector,2010,"29,014.718"
58,Cyprus,industry sector,2010,236.322
59,Latvia,industry sector,2010,773.847
60,Lithuania,industry sector,2010,949.629
61,Luxembourg,industry sector,2010,754.673
62,Hungary,industry sector,2010,"2,604.791"
63,Malta,industry sector,2010,44.120
64,Netherlands,industry sector,2010,"14,419.099"
65,Austria,industry sector,2010,"7,567.819"
66,Poland,industry sector,2010,"13,499.290"
67,Portugal,industry sector,2010,"5,456.022"
68,Romania,industry sector,2010,"6,484.195"
69,Slovenia,industry sector,2010,"1,274.056"
70,Slovakia,industry sector,2010,"3,224.086"
71,Finland,industry sector,2010,"10,714.785"
72,Sweden,industry sector,2010,"11,649.777"
73,Iceland,industry sector,2010,"1,299.919"
74,Norway,industry sector,2010,"6,159.096"
75,United Kingdom,industry sector,2010,"25,596.576"
76,Montenegro,industry sector,2010,199.250
77,North Macedonia,industry sector,2010,542.230
78,Albania,industry sector,2010,354.766
79,Serbia,industry sector,2010,"2,428.856"
80,Turkey,industry sector,2010,"22,315.535"
81,Bosnia and Herzegovina,industry sector,2010,:
82,Kosovo (under United Nations Security Council Resolution 1244/99),industry sector,2010,277.582
83,Moldova,industry sector,2010,224.763
84,Ukraine,industry sector,2010,"24,938.886"
85,Georgia,industry sector,2010,:
86,European Union - 27 countries (from 2020),transport sector,2010,"279,986.454"
87,European Union - 28 countries (2013-2020),transport sector,2010,"320,423.754"
88,Euro area - 19 countries  (from 2015),transport sector,2010,"231,276.820"
89,Belgium,transport sector,2010,"8,942.635"
90,Bulgaria,transport sector,2010,"2,694.753"
91,Czechia,transport sector,2010,"5,916.110"
92,Denmark,transport sector,2010,"4,372.508"
93,Germany (until 1990 former territory of the FRG),transport sector,2010,"53,143.376"
94,Estonia,transport sector,2010,754.608
95,Ireland,transport sector,2010,"3,907.941"
96,Greece,transport sector,2010,"7,476.887"
97,Spain,transport sector,2010,"34,247.277"
98,France,transport sector,2010,"43,568.598"
99,Croatia,transport sector,2010,"1,981.140"
100,Italy,transport sector,2010,"38,566.288"
101,Cyprus,transport sector,2010,765.447
102,Latvia,transport sector,2010,"1,083.453"
103,Lithuania,transport sector,2010,"1,497.054"
104,Luxembourg,transport sector,2010,"2,176.135"
105,Hungary,transport sector,2010,"4,089.374"
106,Malta,transport sector,2010,185.188
107,Netherlands,transport sector,2010,"11,656.504"
108,Austria,transport sector,2010,"8,161.747"
109,Poland,transport sector,2010,"17,187.318"
110,Portugal,transport sector,2010,"6,465.711"
111,Romania,transport sector,2010,"4,965.841"
112,Slovenia,transport sector,2010,"1,778.392"
113,Slovakia,transport sector,2010,"2,595.378"
114,Finland,transport sector,2010,"4,304.201"
115,Sweden,transport sector,2010,"7,502.590"
116,Iceland,transport sector,2010,284.454
117,Norway,transport sector,2010,"4,878.127"
118,United Kingdom,transport sector,2010,"40,437.300"
119,Montenegro,transport sector,2010,229.896
120,North Macedonia,transport sector,2010,454.289
121,Albania,transport sector,2010,732.789
122,Serbia,transport sector,2010,"2,230.695"
123,Turkey,transport sector,2010,"14,813.898"
124,Bosnia and Herzegovina,transport sector,2010,:
125,Kosovo (under United Nations Security Council Resolution 1244/99),transport sector,2010,319.647
126,Moldova,transport sector,2010,580.411
127,Ukraine,transport sector,2010,"12,917.129"
128,Georgia,transport sector,2010,:
129,European Union - 27 countries (from 2020),commercial and public services,2010,"139,835.058"
130,European Union - 28 countries (2013-2020),commercial and public services,2010,"156,361.998"
131,Euro area - 19 countries  (from 2015),commercial and public services,2010,"114,534.182"
132,Belgium,commercial and public services,2010,"4,864.848"
133,Bulgaria,commercial and public services,2010,"1,026.678"
134,Czechia,commercial and public services,2010,"3,249.062"
135,Denmark,commercial and public services,2010,"2,128.258"
136,Germany (until 1990 former territory of the FRG),commercial and public services,2010,"34,806.768"
137,Estonia,commercial and public services,2010,424.239
138,Ireland,commercial and public services,2010,"1,551.480"
139,Greece,commercial and public services,2010,"1,957.407"
140,Spain,commercial and public services,2010,"9,790.048"
141,France,commercial and public services,2010,"24,102.912"
142,Croatia,commercial and public services,2010,797.192
143,Italy,commercial and public services,2010,"16,978.719"
144,Cyprus,commercial and public services,2010,248.249
145,Latvia,commercial and public services,2010,597.801
146,Lithuania,commercial and public services,2010,600.700
147,Luxembourg,commercial and public services,2010,424.139
148,Hungary,commercial and public services,2010,"3,048.640"
149,Malta,commercial and public services,2010,92.080
150,Netherlands,commercial and public services,2010,"7,846.854"
151,Austria,commercial and public services,2010,"2,625.836"
152,Poland,commercial and public services,2010,"8,836.691"
153,Portugal,commercial and public services,2010,"1,884.210"
154,Romania,commercial and public services,2010,"1,880.538"
155,Slovenia,commercial and public services,2010,532.638
156,Slovakia,commercial and public services,2010,"2,105.400"
157,Finland,commercial and public services,2010,"3,099.854"
158,Sweden,commercial and public services,2010,"4,333.817"
159,Iceland,commercial and public services,2010,302.565
160,Norway,commercial and public services,2010,"2,929.087"
161,United Kingdom,commercial and public services,2010,"16,526.940"
162,Montenegro,commercial and public services,2010,4.627
163,North Macedonia,commercial and public services,2010,233.908
164,Albania,commercial and public services,2010,159.469
165,Serbia,commercial and public services,2010,905.620
166,Turkey,commercial and public services,2010,"9,493.149"
167,Bosnia and Herzegovina,commercial and public services,2010,:
168,Kosovo (under United Nations Security Council Resolution 1244/99),commercial and public services,2010,112.324
169,Moldova,commercial and public services,2010,272.530
170,Ukraine,commercial and public services,2010,"4,652.342"
171,Georgia,commercial and public services,2010,:
172,European Union - 27 countries (from 2020),households,2010,"278,890.936"
173,European Union - 28 countries (2013-2020),households,2010,"324,403.511"
174,Euro area - 19 countries  (from 2015),households,2010,"216,394.395"
175,Belgium,households,2010,"9,614.660"
176,Bulgaria,households,2010,"2,243.338"
177,Czechia,households,2010,"7,440.711"
178,Denmark,households,2010,"5,005.148"
179,Germany (until 1990 former territory of the FRG),households,2010,"63,839.122"
180,Estonia,households,2010,"1,026.849"
181,Ireland,households,2010,"3,573.496"
182,Greece,households,2010,"4,666.492"
183,Spain,households,2010,"16,964.161"
184,France,households,2010,"45,407.793"
185,Croatia,households,2010,"2,770.684"
186,Italy,households,2010,"35,392.911"
187,Cyprus,households,2010,336.524
188,Latvia,households,2010,"1,388.905"
189,Lithuania,households,2010,"1,593.216"
190,Luxembourg,households,2010,512.977
191,Hungary,households,2010,"6,648.743"
192,Malta,households,2010,69.245
193,Netherlands,households,2010,"12,480.144"
194,Austria,households,2010,"7,070.224"
195,Poland,households,2010,"22,003.223"
196,Portugal,households,2010,"2,970.645"
197,Romania,households,2010,"8,102.009"
198,Slovenia,households,2010,"1,364.215"
199,Slovakia,households,2010,"2,311.582"
200,Finland,households,2010,"5,811.234"
201,Sweden,households,2010,"8,282.685"
202,Iceland,households,2010,377.577
203,Norway,households,2010,"4,704.102"
204,United Kingdom,households,2010,"45,512.575"
205,Montenegro,households,2010,274.679
206,North Macedonia,households,2010,538.208
207,Albania,households,2010,489.039
208,Serbia,households,2010,"3,078.701"
209,Turkey,households,2010,"19,414.937"
210,Bosnia and Herzegovina,households,2010,:
211,Kosovo (under United Nations Security Council Resolution 1244/99),households,2010,461.840
212,Moldova,households,2010,"1,112.668"
213,Ukraine,households,2010,"23,838.511"
214,Georgia,households,2010,:
215,European Union - 27 countries (from 2020),total,2011,"933,988.605"
216,European Union - 28 countries (2013-2020),total,2011,"1,052,828.977"
217,Euro area - 19 countries  (from 2015),total,2011,"745,352.006"
218,Belgium,total,2011,"32,456.523"
219,Bulgaria,total,2011,"9,125.105"
220,Czechia,total,2011,"23,335.941"
221,Denmark,total,2011,"14,117.097"
222,Germany (until 1990 former territory of the FRG),total,2011,"199,292.537"
223,Estonia,total,2011,"2,802.469"
224,Ireland,total,2011,"10,382.451"
225,Greece,total,2011,"18,185.332"
226,Spain,total,2011,"82,242.740"
227,France,total,2011,"141,279.124"
228,Croatia,total,2011,"6,875.184"
229,Italy,total,2011,"117,518.026"
230,Cyprus,total,2011,"1,614.212"
231,Latvia,total,2011,"3,751.161"
232,Lithuania,total,2011,"4,728.244"
233,Luxembourg,total,2011,"3,889.131"
234,Hungary,total,2011,"16,917.517"
235,Malta,total,2011,388.461
236,Netherlands,total,2011,"46,801.356"
237,Austria,total,2011,"25,094.694"
238,Poland,total,2011,"63,610.484"
239,Portugal,total,2011,"16,441.254"
240,Romania,total,2011,"22,590.604"
241,Slovenia,total,2011,"5,037.235"
242,Slovakia,total,2011,"9,732.586"
243,Finland,total,2011,"23,714.470"
244,Sweden,total,2011,"32,064.667"
245,Iceland,total,2011,"2,521.164"
246,Norway,total,2011,"18,799.653"
247,United Kingdom,total,2011,"118,840.372"
248,Montenegro,total,2011,719.280
249,North Macedonia,total,2011,"1,903.210"
250,Albania,total,2011,"1,953.468"
251,Serbia,total,2011,"9,082.112"
252,Turkey,total,2011,"76,076.088"
253,Bosnia and Herzegovina,total,2011,:
254,Kosovo (under United Nations Security Council Resolution 1244/99),total,2011,"1,266.098"
255,Moldova,total,2011,"2,336.770"
256,Ukraine,total,2011,"69,646.492"
257,Georgia,total,2011,:
258,European Union - 27 countries (from 2020),industry sector,2011,"244,552.771"
259,European Union - 28 countries (2013-2020),industry sector,2011,"268,504.950"
260,Euro area - 19 countries  (from 2015),industry sector,2011,"196,086.608"
261,Belgium,industry sector,2011,"10,531.844"
262,Bulgaria,industry sector,2011,"2,696.440"
263,Czechia,industry sector,2011,"6,770.870"
264,Denmark,industry sector,2011,"2,442.845"
265,Germany (until 1990 former territory of the FRG),industry sector,2011,"57,409.744"
266,Estonia,industry sector,2011,606.825
267,Ireland,industry sector,2011,"1,778.414"
268,Greece,industry sector,2011,"3,322.823"
269,Spain,industry sector,2011,"20,448.577"
270,France,industry sector,2011,"29,677.273"
271,Croatia,industry sector,2011,"1,246.281"
272,Italy,industry sector,2011,"27,744.858"
273,Cyprus,industry sector,2011,210.304
274,Latvia,industry sector,2011,747.755
275,Lithuania,industry sector,2011,"1,013.346"
276,Luxembourg,industry sector,2011,725.434
277,Hungary,industry sector,2011,"2,998.149"
278,Malta,industry sector,2011,39.867
279,Netherlands,industry sector,2011,"13,868.099"
280,Austria,industry sector,2011,"7,597.055"
281,Poland,industry sector,2011,"13,961.482"
282,Portugal,industry sector,2011,"5,351.641"
283,Romania,industry sector,2011,"7,059.692"
284,Slovenia,industry sector,2011,"1,236.892"
285,Slovakia,industry sector,2011,"3,255.331"
286,Finland,industry sector,2011,"10,520.526"
287,Sweden,industry sector,2011,"11,290.404"
288,Iceland,industry sector,2011,"1,324.183"
289,Norway,industry sector,2011,"6,155.991"
290,United Kingdom,industry sector,2011,"23,952.179"
291,Montenegro,industry sector,2011,226.735
292,North Macedonia,industry sector,2011,633.919
293,Albania,industry sector,2011,379.510
294,Serbia,industry sector,2011,"2,740.411"
295,Turkey,industry sector,2011,"24,891.605"
296,Bosnia and Herzegovina,industry sector,2011,:
297,Kosovo (under United Nations Security Council Resolution 1244/99),industry sector,2011,307.986
298,Moldova,industry sector,2011,232.392
299,Ukraine,industry sector,2011,"25,810.737"
300,Georgia,industry sector,2011,:
301,European Union - 27 countries (from 2020),transport sector,2011,"279,057.830"
302,European Union - 28 countries (2013-2020),transport sector,2011,"318,965.558"
303,Euro area - 19 countries  (from 2015),transport sector,2011,"230,095.233"
304,Belgium,transport sector,2011,"8,799.693"
305,Bulgaria,transport sector,2011,"2,759.922"
306,Czechia,transport sector,2011,"5,935.592"
307,Denmark,transport sector,2011,"4,379.335"
308,Germany (until 1990 former territory of the FRG),transport sector,2011,"53,638.674"
309,Estonia,transport sector,2011,749.262
310,Ireland,transport sector,2011,"3,671.539"
311,Greece,transport sector,2011,"6,705.525"
312,Spain,transport sector,2011,"32,463.578"
313,France,transport sector,2011,"45,369.953"
314,Croatia,transport sector,2011,"1,942.858"
315,Italy,transport sector,2011,"38,572.097"
316,Cyprus,transport sector,2011,744.315
317,Latvia,transport sector,2011,964.755
318,Lithuania,transport sector,2011,"1,483.642"
319,Luxembourg,transport sector,2011,"2,307.877"
320,Hungary,transport sector,2011,"3,812.948"
321,Malta,transport sector,2011,183.239
322,Netherlands,transport sector,2011,"11,786.205"
323,Austria,transport sector,2011,"7,873.144"
324,Poland,transport sector,2011,"17,408.462"
325,Portugal,transport sector,2011,"6,002.257"
326,Romania,transport sector,2011,"5,212.550"
327,Slovenia,transport sector,2011,"1,882.202"
328,Slovakia,transport sector,2011,"2,596.766"
329,Finland,transport sector,2011,"4,300.510"
330,Sweden,transport sector,2011,"7,510.930"
331,Iceland,transport sector,2011,275.915
332,Norway,transport sector,2011,"4,709.411"
333,United Kingdom,transport sector,2011,"39,907.728"
334,Montenegro,transport sector,2011,213.102
335,North Macedonia,transport sector,2011,475.330
336,Albania,transport sector,2011,768.010
337,Serbia,transport sector,2011,"2,042.180"
338,Turkey,transport sector,2011,"15,036.935"
339,Bosnia and Herzegovina,transport sector,2011,:
340,Kosovo (under United Nations Security Council Resolution 1244/99),transport sector,2011,330.601
341,Moldova,transport sector,2011,620.914
342,Ukraine,transport sector,2011,"12,875.180"
343,Georgia,transport sector,2011,:
344,European Union - 27 countries (from 2020),commercial and public services,2011,"128,089.733"
