,country,fuel_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Total,2008,"264,057.143"
1,European Union - 28 countries (2013-2020),Total,2008,"306,584.583"
2,Euro area - 19 countries  (from 2015),Total,2008,"207,635.819"
3,Belgium,Total,2008,"8,990.099"
4,Bulgaria,Total,2008,"2,113.463"
5,Czechia,Total,2008,"6,512.139"
6,Denmark,Total,2008,"4,501.163"
7,Germany (until 1990 former territory of the FRG),Total,2008,"62,663.086"
8,Estonia,Total,2008,951.951
9,Ireland,Total,2008,"3,508.781"
10,Greece,Total,2008,"5,270.447"
11,Spain,Total,2008,"15,542.525"
12,France,Total,2008,"44,171.591"
13,Croatia,Total,2008,"2,590.941"
14,Italy,Total,2008,"33,611.748"
15,Cyprus,Total,2008,333.109
16,Latvia,Total,2008,"1,451.540"
17,Lithuania,Total,2008,"1,551.803"
18,Luxembourg,Total,2008,512.071
19,Hungary,Total,2008,"6,017.799"
20,Malta,Total,2008,70.789
21,Netherlands,Total,2008,"11,019.502"
22,Austria,Total,2008,"6,392.814"
23,Poland,Total,2008,"19,668.123"
24,Portugal,Total,2008,"3,117.719"
25,Romania,Total,2008,"8,070.214"
26,Slovenia,Total,2008,"1,354.045"
27,Slovakia,Total,2008,"2,130.687"
28,Finland,Total,2008,"4,991.512"
29,Sweden,Total,2008,"6,947.482"
30,Iceland,Total,2008,374.955
31,Liechtenstein,Total,2008,:
32,Norway,Total,2008,"4,030.316"
33,Switzerland,Total,2008,:
34,United Kingdom,Total,2008,"42,527.440"
35,Montenegro,Total,2008,251.124
36,North Macedonia,Total,2008,530.939
37,Albania,Total,2008,445.281
38,Serbia,Total,2008,"2,896.407"
39,Turkey,Total,2008,"20,217.788"
40,Bosnia and Herzegovina,Total,2008,:
41,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2008,461.301
42,Moldova,Total,2008,:
43,Ukraine,Total,2008,"22,876.226"
44,Georgia,Total,2008,:
45,European Union - 27 countries (from 2020),Natural gas,2008,"83,757.102"
46,European Union - 28 countries (2013-2020),Natural gas,2008,"111,581.565"
47,Euro area - 19 countries  (from 2015),Natural gas,2008,"71,823.991"
48,Belgium,Natural gas,2008,"3,299.210"
49,Bulgaria,Natural gas,2008,38.908
50,Czechia,Natural gas,2008,"2,047.420"
51,Denmark,Natural gas,2008,633.433
52,Germany (until 1990 former territory of the FRG),Natural gas,2008,"22,165.563"
53,Estonia,Natural gas,2008,49.162
54,Ireland,Natural gas,2008,667.476
55,Greece,Natural gas,2008,207.503
56,Spain,Natural gas,2008,"3,615.497"
57,France,Natural gas,2008,"14,003.018"
58,Croatia,Natural gas,2008,548.861
59,Italy,Natural gas,2008,"16,014.746"
60,Cyprus,Natural gas,2008,0.000
61,Latvia,Natural gas,2008,112.102
62,Lithuania,Natural gas,2008,145.808
63,Luxembourg,Natural gas,2008,200.796
64,Hungary,Natural gas,2008,"3,294.368"
65,Malta,Natural gas,2008,0.000
66,Netherlands,Natural gas,2008,"8,377.272"
67,Austria,Natural gas,2008,"1,413.000"
68,Poland,Natural gas,2008,"3,139.639"
69,Portugal,Natural gas,2008,229.901
70,Romania,Natural gas,2008,"2,188.586"
71,Slovenia,Natural gas,2008,102.279
72,Slovakia,Natural gas,2008,"1,182.201"
73,Finland,Natural gas,2008,38.457
74,Sweden,Natural gas,2008,41.896
75,Iceland,Natural gas,2008,0.000
76,Liechtenstein,Natural gas,2008,:
77,Norway,Natural gas,2008,3.074
78,Switzerland,Natural gas,2008,:
79,United Kingdom,Natural gas,2008,"27,824.463"
80,Montenegro,Natural gas,2008,0.000
81,North Macedonia,Natural gas,2008,0.000
82,Albania,Natural gas,2008,0.000
83,Serbia,Natural gas,2008,182.889
84,Turkey,Natural gas,2008,"6,525.881"
