,country,fuel_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Solid fossil fuels,2008,"16,476.518"
1,European Union - 28 countries (2013-2020),Solid fossil fuels,2008,"18,227.130"
2,Euro area - 19 countries  (from 2015),Solid fossil fuels,2008,"9,620.633"
3,Belgium,Solid fossil fuels,2008,365.228
4,Bulgaria,Solid fossil fuels,2008,320.677
5,Czechia,Solid fossil fuels,2008,"1,561.656"
6,Denmark,Solid fossil fuels,2008,173.677
7,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2008,"3,354.148"
8,Estonia,Solid fossil fuels,2008,73.942
9,Ireland,Solid fossil fuels,2008,164.705
10,Greece,Solid fossil fuels,2008,390.257
11,Spain,Solid fossil fuels,2008,549.387
12,France,Solid fossil fuels,2008,"1,633.778"
13,Croatia,Solid fossil fuels,2008,152.447
14,Italy,Solid fossil fuels,2008,"1,371.202"
15,Cyprus,Solid fossil fuels,2008,27.945
16,Latvia,Solid fossil fuels,2008,50.795
17,Lithuania,Solid fossil fuels,2008,110.376
18,Luxembourg,Solid fossil fuels,2008,74.442
19,Hungary,Solid fossil fuels,2008,207.581
20,Malta,Solid fossil fuels,2008,0.000
21,Netherlands,Solid fossil fuels,2008,103.695
22,Austria,Solid fossil fuels,2008,380.088
23,Poland,Solid fossil fuels,2008,"3,463.945"
24,Portugal,Solid fossil fuels,2008,71.046
25,Romania,Solid fossil fuels,2008,555.347
26,Slovenia,Solid fossil fuels,2008,80.880
27,Slovakia,Solid fossil fuels,2008,582.073
28,Finland,Solid fossil fuels,2008,236.646
29,Sweden,Solid fossil fuels,2008,420.555
30,Iceland,Solid fossil fuels,2008,93.410
31,Liechtenstein,Solid fossil fuels,2008,:
32,Norway,Solid fossil fuels,2008,578.432
33,Switzerland,Solid fossil fuels,2008,:
34,United Kingdom,Solid fossil fuels,2008,"1,750.612"
35,Montenegro,Solid fossil fuels,2008,8.358
36,North Macedonia,Solid fossil fuels,2008,145.808
37,Albania,Solid fossil fuels,2008,8.699
38,Serbia,Solid fossil fuels,2008,433.102
39,Turkey,Solid fossil fuels,2008,"5,212.087"
40,Bosnia and Herzegovina,Solid fossil fuels,2008,:
41,Kosovo (under United Nations Security Council Resolution 1244/99),Solid fossil fuels,2008,25.404
42,Moldova,Solid fossil fuels,2008,:
43,Ukraine,Solid fossil fuels,2008,"4,182.400"
44,Georgia,Solid fossil fuels,2008,:
45,European Union - 27 countries (from 2020),Manufactured gases,2008,"6,118.114"
46,European Union - 28 countries (2013-2020),Manufactured gases,2008,"6,256.642"
47,Euro area - 19 countries  (from 2015),Manufactured gases,2008,"4,079.995"
48,Belgium,Manufactured gases,2008,429.648
49,Bulgaria,Manufactured gases,2008,37.504
50,Czechia,Manufactured gases,2008,517.641
51,Denmark,Manufactured gases,2008,0.000
52,Germany (until 1990 former territory of the FRG),Manufactured gases,2008,"2,368.821"
53,Estonia,Manufactured gases,2008,20.464
54,Ireland,Manufactured gases,2008,0.000
55,Greece,Manufactured gases,2008,0.000
56,Spain,Manufactured gases,2008,144.578
57,France,Manufactured gases,2008,0.000
58,Croatia,Manufactured gases,2008,0.666
59,Italy,Manufactured gases,2008,0.000
60,Cyprus,Manufactured gases,2008,0.000
61,Latvia,Manufactured gases,2008,0.000
62,Lithuania,Manufactured gases,2008,0.000
63,Luxembourg,Manufactured gases,2008,0.000
64,Hungary,Manufactured gases,2008,133.474
65,Malta,Manufactured gases,2008,0.000
66,Netherlands,Manufactured gases,2008,509.208
67,Austria,Manufactured gases,2008,106.101
68,Poland,Manufactured gases,2008,779.438
69,Portugal,Manufactured gases,2008,0.000
70,Romania,Manufactured gases,2008,371.577
71,Slovenia,Manufactured gases,2008,0.000
72,Slovakia,Manufactured gases,2008,386.242
73,Finland,Manufactured gases,2008,114.933
74,Sweden,Manufactured gases,2008,197.819
75,Iceland,Manufactured gases,2008,0.000
76,Liechtenstein,Manufactured gases,2008,:
77,Norway,Manufactured gases,2008,27.873
78,Switzerland,Manufactured gases,2008,:
79,United Kingdom,Manufactured gases,2008,138.528
80,Montenegro,Manufactured gases,2008,0.000
81,North Macedonia,Manufactured gases,2008,0.000
82,Albania,Manufactured gases,2008,0.000
83,Serbia,Manufactured gases,2008,208.727
84,Turkey,Manufactured gases,2008,420.593
85,Bosnia and Herzegovina,Manufactured gases,2008,:
86,Kosovo (under United Nations Security Council Resolution 1244/99),Manufactured gases,2008,0.000
87,Moldova,Manufactured gases,2008,:
88,Ukraine,Manufactured gases,2008,"3,671.324"
89,Georgia,Manufactured gases,2008,:
90,European Union - 27 countries (from 2020),Electricity,2008,"86,158.504"
91,European Union - 28 countries (2013-2020),Electricity,2008,"95,973.723"
92,Euro area - 19 countries  (from 2015),Electricity,2008,"70,465.383"
93,Belgium,Electricity,2008,"3,355.030"
94,Bulgaria,Electricity,2008,897.764
95,Czechia,Electricity,2008,"2,093.379"
96,Denmark,Electricity,2008,822.356
97,Germany (until 1990 former territory of the FRG),Electricity,2008,"20,203.439"
98,Estonia,Electricity,2008,200.774
99,Ireland,Electricity,2008,604.108
100,Greece,Electricity,2008,"1,331.470"
101,Spain,Electricity,2008,"8,098.882"
102,France,Electricity,2008,"11,061.393"
103,Croatia,Electricity,2008,326.053
104,Italy,Electricity,2008,"12,179.364"
105,Cyprus,Electricity,2008,54.600
106,Latvia,Electricity,2008,144.884
107,Lithuania,Electricity,2008,240.327
108,Luxembourg,Electricity,2008,309.650
109,Hungary,Electricity,2008,851.677
110,Malta,Electricity,2008,47.979
111,Netherlands,Electricity,2008,"3,610.318"
112,Austria,Electricity,2008,"2,170.887"
113,Poland,Electricity,2008,"3,767.154"
114,Portugal,Electricity,2008,"1,514.789"
115,Romania,Electricity,2008,"1,976.526"
116,Slovenia,Electricity,2008,542.648
117,Slovakia,Electricity,2008,"1,080.138"
118,Finland,Electricity,2008,"3,714.703"
119,Sweden,Electricity,2008,"4,958.212"
120,Iceland,Electricity,2008,"1,122.614"
121,Liechtenstein,Electricity,2008,:
122,Norway,Electricity,2008,"4,355.632"
123,Switzerland,Electricity,2008,:
124,United Kingdom,Electricity,2008,"9,815.219"
125,Montenegro,Electricity,2008,215.133
126,North Macedonia,Electricity,2008,207.395
127,Albania,Electricity,2008,68.960
128,Serbia,Electricity,2008,607.567
129,Turkey,Electricity,2008,"6,236.801"
130,Bosnia and Herzegovina,Electricity,2008,:
131,Kosovo (under United Nations Security Council Resolution 1244/99),Electricity,2008,98.538
132,Moldova,Electricity,2008,:
133,Ukraine,Electricity,2008,"5,773.345"
134,Georgia,Electricity,2008,:
135,European Union - 27 countries (from 2020),Natural gas,2008,"83,473.770"
136,European Union - 28 countries (2013-2020),Natural gas,2008,"93,400.468"
137,Euro area - 19 countries  (from 2015),Natural gas,2008,"70,640.777"
138,Belgium,Natural gas,2008,"4,431.986"
139,Bulgaria,Natural gas,2008,"1,042.529"
140,Czechia,Natural gas,2008,"2,242.605"
141,Denmark,Natural gas,2008,722.923
142,Germany (until 1990 former territory of the FRG),Natural gas,2008,"20,040.474"
143,Estonia,Natural gas,2008,143.401
144,Ireland,Natural gas,2008,548.282
145,Greece,Natural gas,2008,453.571
146,Spain,Natural gas,2008,"9,349.729"
147,France,Natural gas,2008,"12,799.951"
148,Croatia,Natural gas,2008,566.058
149,Italy,Natural gas,2008,"11,301.268"
150,Cyprus,Natural gas,2008,0.000
151,Latvia,Natural gas,2008,261.801
152,Lithuania,Natural gas,2008,349.893
153,Luxembourg,Natural gas,2008,332.634
154,Hungary,Natural gas,2008,"1,211.801"
155,Malta,Natural gas,2008,0.000
156,Netherlands,Natural gas,2008,"5,003.444"
157,Austria,Natural gas,2008,"2,396.677"
158,Poland,Natural gas,2008,"3,018.788"
159,Portugal,Natural gas,2008,"1,017.089"
160,Romania,Natural gas,2008,"3,738.478"
161,Slovenia,Natural gas,2008,526.118
162,Slovakia,Natural gas,2008,946.346
163,Finland,Natural gas,2008,738.113
164,Sweden,Natural gas,2008,289.811
165,Iceland,Natural gas,2008,0.000
166,Liechtenstein,Natural gas,2008,:
167,Norway,Natural gas,2008,210.599
168,Switzerland,Natural gas,2008,:
169,United Kingdom,Natural gas,2008,"9,926.698"
170,Montenegro,Natural gas,2008,0.000
171,North Macedonia,Natural gas,2008,42.476
172,Albania,Natural gas,2008,0.000
173,Serbia,Natural gas,2008,"1,002.429"
174,Turkey,Natural gas,2008,"3,195.314"
175,Bosnia and Herzegovina,Natural gas,2008,:
176,Kosovo (under United Nations Security Council Resolution 1244/99),Natural gas,2008,0.000
177,Moldova,Natural gas,2008,:
178,Ukraine,Natural gas,2008,"9,689.553"
179,Georgia,Natural gas,2008,:
180,European Union - 27 countries (from 2020),Heat,2008,"16,368.252"
181,European Union - 28 countries (2013-2020),Heat,2008,"17,388.984"
182,Euro area - 19 countries  (from 2015),Heat,2008,"13,393.261"
183,Belgium,Heat,2008,370.904
184,Bulgaria,Heat,2008,462.621
185,Czechia,Heat,2008,639.916
186,Denmark,Heat,2008,120.259
187,Germany (until 1990 former territory of the FRG),Heat,2008,"3,589.925"
188,Estonia,Heat,2008,54.385
189,Ireland,Heat,2008,0.000
190,Greece,Heat,2008,0.000
191,Spain,Heat,2008,0.000
192,France,Heat,2008,"1,512.120"
193,Croatia,Heat,2008,19.081
194,Italy,Heat,2008,"3,028.781"
195,Cyprus,Heat,2008,0.000
196,Latvia,Heat,2008,8.503
197,Lithuania,Heat,2008,165.998
198,Luxembourg,Heat,2008,11.341
199,Hungary,Heat,2008,363.380
200,Malta,Heat,2008,0.000
201,Netherlands,Heat,2008,"2,507.548"
202,Austria,Heat,2008,194.057
203,Poland,Heat,2008,670.297
204,Portugal,Heat,2008,303.716
205,Romania,Heat,2008,323.517
206,Slovenia,Heat,2008,68.501
207,Slovakia,Heat,2008,68.979
208,Finland,Heat,2008,"1,508.503"
209,Sweden,Heat,2008,375.920
210,Iceland,Heat,2008,0.000
