,country,fuel_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Total,2008,"266,857.059"
1,European Union - 28 countries (2013-2020),Total,2008,"306,513.500"
2,Euro area - 19 countries  (from 2015),Total,2008,"221,120.081"
3,Belgium,Total,2008,"8,725.905"
4,Bulgaria,Total,2008,"2,548.343"
5,Czechia,Total,2008,"5,960.347"
6,Denmark,Total,2008,"4,261.185"
7,Germany (until 1990 former territory of the FRG),Total,2008,"50,323.835"
8,Estonia,Total,2008,734.683
9,Ireland,Total,2008,"4,374.933"
10,Greece,Total,2008,"6,572.296"
11,Spain,Total,2008,"32,378.832"
12,France,Total,2008,"41,416.417"
13,Croatia,Total,2008,"1,962.646"
14,Italy,Total,2008,"37,507.963"
15,Cyprus,Total,2008,747.587
16,Latvia,Total,2008,"1,095.404"
17,Lithuania,Total,2008,"1,656.601"
18,Luxembourg,Total,2008,"2,219.868"
19,Hungary,Total,2008,"4,337.205"
20,Malta,Total,2008,180.759
21,Netherlands,Total,2008,"11,457.744"
22,Austria,Total,2008,"7,535.162"
23,Poland,Total,2008,"15,043.996"
24,Portugal,Total,2008,"6,192.254"
25,Romania,Total,2008,"4,652.855"
26,Slovenia,Total,2008,"2,007.697"
27,Slovakia,Total,2008,"2,074.162"
28,Finland,Total,2008,"3,917.979"
29,Sweden,Total,2008,"6,970.401"
30,Iceland,Total,2008,281.396
31,Liechtenstein,Total,2008,:
32,Norway,Total,2008,"3,505.464"
33,Switzerland,Total,2008,:
34,United Kingdom,Total,2008,"39,656.441"
35,Montenegro,Total,2008,200.147
36,North Macedonia,Total,2008,398.123
37,Albania,Total,2008,661.202
38,Serbia,Total,2008,"2,290.454"
39,Turkey,Total,2008,"13,560.261"
40,Bosnia and Herzegovina,Total,2008,:
41,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2008,325.000
42,Moldova,Total,2008,:
43,Ukraine,Total,2008,"9,153.052"
44,Georgia,Total,2008,:
45,European Union - 27 countries (from 2020),Gas oil and diesel oil,2008,"168,939.080"
46,European Union - 28 countries (2013-2020),Gas oil and diesel oil,2008,"189,984.102"
47,Euro area - 19 countries  (from 2015),Gas oil and diesel oil,2008,"143,069.552"
48,Belgium,Gas oil and diesel oil,2008,"7,180.381"
49,Bulgaria,Gas oil and diesel oil,2008,"1,511.436"
50,Czechia,Gas oil and diesel oil,2008,"3,646.223"
51,Denmark,Gas oil and diesel oil,2008,"2,471.150"
