,country,fuel_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Solid fossil fuels,2008,"1,416.060"
1,European Union - 28 countries (2013-2020),Solid fossil fuels,2008,"1,432.449"
2,Euro area - 19 countries  (from 2015),Solid fossil fuels,2008,591.472
3,Belgium,Solid fossil fuels,2008,0.000
4,Bulgaria,Solid fossil fuels,2008,5.513
5,Czechia,Solid fossil fuels,2008,79.037
6,Denmark,Solid fossil fuels,2008,0.000
7,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2008,148.572
8,Estonia,Solid fossil fuels,2008,2.594
9,Ireland,Solid fossil fuels,2008,26.616
10,Greece,Solid fossil fuels,2008,0.000
11,Spain,Solid fossil fuels,2008,0.000
12,France,Solid fossil fuels,2008,121.095
13,Croatia,Solid fossil fuels,2008,0.817
14,Italy,Solid fossil fuels,2008,0.000
15,Cyprus,Solid fossil fuels,2008,0.000
16,Latvia,Solid fossil fuels,2008,20.040
17,Lithuania,Solid fossil fuels,2008,35.111
18,Luxembourg,Solid fossil fuels,2008,0.000
19,Hungary,Solid fossil fuels,2008,3.436
20,Malta,Solid fossil fuels,2008,0.000
21,Netherlands,Solid fossil fuels,2008,3.344
22,Austria,Solid fossil fuels,2008,5.995
23,Poland,Solid fossil fuels,2008,735.396
24,Portugal,Solid fossil fuels,2008,0.000
25,Romania,Solid fossil fuels,2008,0.389
26,Slovenia,Solid fossil fuels,2008,0.000
27,Slovakia,Solid fossil fuels,2008,228.105
28,Finland,Solid fossil fuels,2008,0.000
29,Sweden,Solid fossil fuels,2008,0.000
30,Iceland,Solid fossil fuels,2008,0.000
31,Liechtenstein,Solid fossil fuels,2008,:
32,Norway,Solid fossil fuels,2008,1.361
33,Switzerland,Solid fossil fuels,2008,:
34,United Kingdom,Solid fossil fuels,2008,16.389
35,Montenegro,Solid fossil fuels,2008,2.420
36,North Macedonia,Solid fossil fuels,2008,0.764
37,Albania,Solid fossil fuels,2008,7.758
38,Serbia,Solid fossil fuels,2008,72.648
39,Turkey,Solid fossil fuels,2008,"3,611.876"
40,Bosnia and Herzegovina,Solid fossil fuels,2008,:
41,Kosovo (under United Nations Security Council Resolution 1244/99),Solid fossil fuels,2008,3.354
42,Moldova,Solid fossil fuels,2008,:
43,Ukraine,Solid fossil fuels,2008,222.349
44,Georgia,Solid fossil fuels,2008,:
45,European Union - 27 countries (from 2020),Manufactured gases,2008,26.225
46,European Union - 28 countries (2013-2020),Manufactured gases,2008,26.225
47,Euro area - 19 countries  (from 2015),Manufactured gases,2008,19.089
48,Belgium,Manufactured gases,2008,0.000
49,Bulgaria,Manufactured gases,2008,0.000
50,Czechia,Manufactured gases,2008,0.000
51,Denmark,Manufactured gases,2008,0.000
52,Germany (until 1990 former territory of the FRG),Manufactured gases,2008,0.000
53,Estonia,Manufactured gases,2008,0.000
54,Ireland,Manufactured gases,2008,0.000
55,Greece,Manufactured gases,2008,0.000
56,Spain,Manufactured gases,2008,19.089
57,France,Manufactured gases,2008,0.000
58,Croatia,Manufactured gases,2008,1.139
59,Italy,Manufactured gases,2008,0.000
60,Cyprus,Manufactured gases,2008,0.000
61,Latvia,Manufactured gases,2008,0.000
62,Lithuania,Manufactured gases,2008,0.000
63,Luxembourg,Manufactured gases,2008,0.000
64,Hungary,Manufactured gases,2008,0.000
65,Malta,Manufactured gases,2008,0.000
66,Netherlands,Manufactured gases,2008,0.000
67,Austria,Manufactured gases,2008,0.000
68,Poland,Manufactured gases,2008,0.451
69,Portugal,Manufactured gases,2008,0.000
70,Romania,Manufactured gases,2008,0.000
71,Slovenia,Manufactured gases,2008,0.000
72,Slovakia,Manufactured gases,2008,0.000
73,Finland,Manufactured gases,2008,0.000
74,Sweden,Manufactured gases,2008,5.546
75,Iceland,Manufactured gases,2008,0.000
76,Liechtenstein,Manufactured gases,2008,:
77,Norway,Manufactured gases,2008,0.000
78,Switzerland,Manufactured gases,2008,:
79,United Kingdom,Manufactured gases,2008,0.000
80,Montenegro,Manufactured gases,2008,0.000
81,North Macedonia,Manufactured gases,2008,0.000
82,Albania,Manufactured gases,2008,0.000
83,Serbia,Manufactured gases,2008,0.000
84,Turkey,Manufactured gases,2008,5.159
