,country,fuel_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Total,2008,"287,854.645"
1,European Union - 28 countries (2013-2020),Total,2008,"330,238.173"
2,Euro area - 19 countries  (from 2015),Total,2008,"238,924.316"
3,Belgium,Total,2008,"9,084.942"
4,Bulgaria,Total,2008,"2,884.270"
5,Czechia,Total,2008,"6,325.031"
6,Denmark,Total,2008,"4,644.302"
7,Germany (until 1990 former territory of the FRG),Total,2008,"53,420.592"
8,Estonia,Total,2008,790.897
9,Ireland,Total,2008,"4,561.320"
10,Greece,Total,2008,"7,588.614"
11,Spain,Total,2008,"37,194.739"
12,France,Total,2008,"43,878.279"
13,Croatia,Total,2008,"2,075.420"
14,Italy,Total,2008,"40,707.409"
15,Cyprus,Total,2008,747.587
16,Latvia,Total,2008,"1,182.956"
17,Lithuania,Total,2008,"1,768.062"
18,Luxembourg,Total,2008,"2,234.175"
19,Hungary,Total,2008,"4,501.063"
20,Malta,Total,2008,191.769
21,Netherlands,Total,2008,"11,961.129"
22,Austria,Total,2008,"8,127.932"
23,Poland,Total,2008,"15,805.595"
24,Portugal,Total,2008,"6,520.122"
25,Romania,Total,2008,"5,160.397"
26,Slovenia,Total,2008,"2,035.783"
27,Slovakia,Total,2008,"2,668.941"
28,Finland,Total,2008,"4,259.068"
29,Sweden,Total,2008,"7,534.251"
30,Iceland,Total,2008,308.092
31,Liechtenstein,Total,2008,:
32,Norway,Total,2008,"4,770.038"
33,Switzerland,Total,2008,:
34,United Kingdom,Total,2008,"42,383.528"
35,Montenegro,Total,2008,202.038
36,North Macedonia,Total,2008,404.894
37,Albania,Total,2008,745.409
38,Serbia,Total,2008,"2,349.255"
39,Turkey,Total,2008,"15,256.647"
40,Bosnia and Herzegovina,Total,2008,:
41,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2008,326.027
42,Moldova,Total,2008,:
43,Ukraine,Total,2008,"15,442.364"
44,Georgia,Total,2008,:
