,country,product_type,year,1K_tonne_oil_equivalent
0,European Union - 27 countries (from 2020),Total,2010,"1,527,331.315"
1,European Union - 28 countries (2013-2020),Total,2010,"1,729,403.270"
2,Euro area - 19 countries  (from 2015),Total,2010,"1,223,400.977"
3,Belgium,Total,2010,"60,119.188"
4,Bulgaria,Total,2010,"17,748.485"
5,Czechia,Total,2010,"45,152.993"
6,Denmark,Total,2010,"19,604.864"
7,Germany (until 1990 former territory of the FRG),Total,2010,"330,303.551"
8,Estonia,Total,2010,"5,619.711"
9,Ireland,Total,2010,"14,322.272"
10,Greece,Total,2010,"27,664.517"
11,Spain,Total,2010,"126,868.339"
12,France,Total,2010,"264,191.899"
13,Croatia,Total,2010,"9,373.411"
14,Italy,Total,2010,"173,677.121"
15,Cyprus,Total,2010,"2,476.303"
16,Latvia,Total,2010,"4,511.793"
17,Lithuania,Total,2010,"7,033.141"
18,Luxembourg,Total,2010,"4,214.963"
19,Hungary,Total,2010,"26,362.697"
20,Malta,Total,2010,836.672
21,Netherlands,Total,2010,"82,743.780"
22,Austria,Total,2010,"34,164.624"
23,Poland,Total,2010,"101,095.304"
24,Portugal,Total,2010,"23,505.307"
25,Romania,Total,2010,"34,839.395"
26,Slovenia,Total,2010,"7,225.880"
27,Slovakia,Total,2010,"17,670.180"
28,Finland,Total,2010,"36,251.736"
29,Sweden,Total,2010,"49,753.189"
30,Iceland,Total,2010,"5,418.214"
31,Norway,Total,2010,"33,326.933"
32,United Kingdom,Total,2010,"202,071.955"
33,Montenegro,Total,2010,"1,126.893"
34,North Macedonia,Total,2010,"2,874.137"
35,Albania,Total,2010,"2,134.728"
36,Serbia,Total,2010,"15,564.119"
37,Turkey,Total,2010,"104,128.211"
38,Bosnia and Herzegovina,Total,2010,:
39,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2010,"2,504.075"
40,Moldova,Total,2010,"2,519.738"
41,Ukraine,Total,2010,"132,521.249"
42,Georgia,Total,2010,:
43,European Union - 27 countries (from 2020),Solid fossil fuels,2010,"245,082.580"
44,European Union - 28 countries (2013-2020),Solid fossil fuels,2010,"276,956.450"
45,Euro area - 19 countries  (from 2015),Solid fossil fuels,2010,"147,792.242"
46,Belgium,Solid fossil fuels,2010,"3,787.179"
47,Bulgaria,Solid fossil fuels,2010,"6,938.197"
48,Czechia,Solid fossil fuels,2010,"18,846.975"
49,Denmark,Solid fossil fuels,2010,"3,808.941"
50,Germany (until 1990 former territory of the FRG),Solid fossil fuels,2010,"79,075.728"
51,Estonia,Solid fossil fuels,2010,23.940
52,Ireland,Solid fossil fuels,2010,"1,233.085"
53,Greece,Solid fossil fuels,2010,"7,863.033"
54,Spain,Solid fossil fuels,2010,"7,281.087"
55,France,Solid fossil fuels,2010,"11,962.119"
56,Croatia,Solid fossil fuels,2010,682.699
57,Italy,Solid fossil fuels,2010,"13,673.981"
58,Cyprus,Solid fossil fuels,2010,16.779
59,Latvia,Solid fossil fuels,2010,106.504
60,Lithuania,Solid fossil fuels,2010,182.001
61,Luxembourg,Solid fossil fuels,2010,67.036
62,Hungary,Solid fossil fuels,2010,"2,703.315"
63,Malta,Solid fossil fuels,2010,0.000
64,Netherlands,Solid fossil fuels,2010,"7,541.217"
65,Austria,Solid fossil fuels,2010,"3,383.533"
66,Poland,Solid fossil fuels,2010,"55,222.218"
67,Portugal,Solid fossil fuels,2010,"1,657.624"
68,Romania,Solid fossil fuels,2010,"6,948.709"
69,Slovenia,Solid fossil fuels,2010,"1,453.379"
70,Slovakia,Solid fossil fuels,2010,"3,897.234"
71,Finland,Solid fossil fuels,2010,"4,586.783"
72,Sweden,Solid fossil fuels,2010,"2,139.284"
73,Iceland,Solid fossil fuels,2010,90.126
74,Norway,Solid fossil fuels,2010,763.139
75,United Kingdom,Solid fossil fuels,2010,"31,873.870"
76,Montenegro,Solid fossil fuels,2010,419.716
77,North Macedonia,Solid fossil fuels,2010,"1,304.849"
78,Albania,Solid fossil fuels,2010,110.900
79,Serbia,Solid fossil fuels,2010,"7,752.569"
80,Turkey,Solid fossil fuels,2010,"31,094.639"
81,Bosnia and Herzegovina,Solid fossil fuels,2010,:
82,Kosovo (under United Nations Security Council Resolution 1244/99),Solid fossil fuels,2010,"1,674.643"
83,Moldova,Solid fossil fuels,2010,114.138
84,Ukraine,Solid fossil fuels,2010,"38,130.913"
85,Georgia,Solid fossil fuels,2010,:
86,European Union - 27 countries (from 2020),Manufactured gases,2010,0.000
87,European Union - 28 countries (2013-2020),Manufactured gases,2010,0.000
88,Euro area - 19 countries  (from 2015),Manufactured gases,2010,0.000
89,Belgium,Manufactured gases,2010,0.000
90,Bulgaria,Manufactured gases,2010,0.000
91,Czechia,Manufactured gases,2010,0.000
92,Denmark,Manufactured gases,2010,0.000
93,Germany (until 1990 former territory of the FRG),Manufactured gases,2010,0.000
94,Estonia,Manufactured gases,2010,0.000
95,Ireland,Manufactured gases,2010,0.000
96,Greece,Manufactured gases,2010,0.000
97,Spain,Manufactured gases,2010,0.000
98,France,Manufactured gases,2010,0.000
99,Croatia,Manufactured gases,2010,0.000
100,Italy,Manufactured gases,2010,0.000
101,Cyprus,Manufactured gases,2010,0.000
102,Latvia,Manufactured gases,2010,0.000
103,Lithuania,Manufactured gases,2010,0.000
104,Luxembourg,Manufactured gases,2010,0.000
105,Hungary,Manufactured gases,2010,0.000
106,Malta,Manufactured gases,2010,0.000
107,Netherlands,Manufactured gases,2010,0.000
108,Austria,Manufactured gases,2010,0.000
109,Poland,Manufactured gases,2010,0.000
110,Portugal,Manufactured gases,2010,0.000
111,Romania,Manufactured gases,2010,0.000
112,Slovenia,Manufactured gases,2010,0.000
113,Slovakia,Manufactured gases,2010,0.000
114,Finland,Manufactured gases,2010,0.000
115,Sweden,Manufactured gases,2010,0.000
116,Iceland,Manufactured gases,2010,0.000
117,Norway,Manufactured gases,2010,0.000
118,United Kingdom,Manufactured gases,2010,0.000
119,Montenegro,Manufactured gases,2010,0.000
120,North Macedonia,Manufactured gases,2010,0.000
121,Albania,Manufactured gases,2010,0.000
122,Serbia,Manufactured gases,2010,0.000
123,Turkey,Manufactured gases,2010,0.000
124,Bosnia and Herzegovina,Manufactured gases,2010,:
125,Kosovo (under United Nations Security Council Resolution 1244/99),Manufactured gases,2010,0.000
126,Moldova,Manufactured gases,2010,0.000
127,Ukraine,Manufactured gases,2010,0.000
128,Georgia,Manufactured gases,2010,:
